neighborhood_id,name,district,speed_peak,speed_offpeak,speed_blended
323,GÜRPINAR,BEYLİKDÜZÜ,25.23,35.52,29.31
324,GÜRSEL,KAĞITHANE,28.24,44.55,35.98
325,GÜVERCİNTEPE,BAŞAKŞEHİR,31.27,34.4,32.63
326,GÜZELCE,BÜYÜKÇEKMECE,70.43,75.76,73.93
327,GÜZELTEPE,EYÜPSULTAN,30.0,45.51,37.6
328,GÜZELYALI,PENDİK,40.51,69.22,52.21
329,GÜZELYURT,ESENYURT,30.71,59.53,44.73
330,GİRNE,MALTEPE,36.08,47.25,40.73
331,HABİBLER,SULTANGAZİ,36.95,46.66,41.45
332,HACI KADIN,FATİH,19.81,34.08,26.28
333,HACIAHMET,BEYOĞLU,20.59,27.79,23.83
334,HACILLI,ŞİLE,53.14,60.21,56.45
335,HACIMAŞLI,ARNAVUTKÖY,48.1,53.93,51.02
336,HACIMİMİ,BEYOĞLU,19.28,30.06,24.04
337,HADIMKÖY,ARNAVUTKÖY,48.69,56.55,51.79
338,HALICIOĞLU,BEYOĞLU,23.71,52.67,36.38
339,HALKALI MERKEZ,KÜÇÜKÇEKMECE,28.25,37.43,32.42
340,HALLAÇLI,ÇATALCA,53.14,60.21,56.45
341,HALİDE EDİP ADIVAR,ŞİŞLİ,34.23,53.67,43.22
342,HALİL RIFAT PAŞA,ŞİŞLİ,36.31,50.65,43.4
343,HAMİDİYE,KAĞITHANE,40.53,70.06,53.57
344,HAMİDİYE,SULTANBEYLİ,51.96,64.26,57.9
345,HAMİDİYE,ÇEKMEKÖY,74.74,82.12,79.72
346,HARAÇÇI,ARNAVUTKÖY,39.14,47.73,43.72
347,HARMANDERE,PENDİK,37.24,53.49,44.84
348,HARMANTEPE,KAĞITHANE,17.39,24.33,20.35
349,HASANLI,ŞİLE,53.14,60.21,56.45
350,HASANPAŞA,KADIKÖY,25.94,36.05,30.81
351,HASANPAŞA,SULTANBEYLİ,47.28,64.96,56.0
352,HASEKİ SULTAN,FATİH,26.56,40.83,34.64
353,HAVAALANI,ESENLER,33.01,33.49,33.37
354,HAZNEDAR,GÜNGÖREN,22.11,34.8,27.23
355,HEKİMBAŞI,ÜMRANİYE,33.59,37.3,35.07
356,HEYBELİADA,ADALAR,47.55,56.71,52.84
357,HIRKA-İ ŞERİF,FATİH,24.73,41.41,31.77
