||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İstanbul(Beyoğlu/Beyoğlu Bel./Müeyyetzade Mah.)-40286|491.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Ömer Avni Mah.)-40294|1884.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Örnektepe Mah.)-40305|11201.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Piripaşa Mah.)-40303|15303.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Piyalepaşa Mah.)-40263|20512.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Pürtelaş Hasan Efendi Mah.)-40295|1738.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Şahkulu Mah.)-40284|680.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Şehit Muhtar Mah.)-40273|1178.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Sururi Mehmet Efendi Mah.)-40289|3886.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Sütlüce Mah.)-40306|13750.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Tomtom Mah.)-40287|2410.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Yahya Kahya Mah.)-40290|3382.0|
|İstanbul(Beyoğlu/Beyoğlu Bel./Yenişehir Mah.)-40265|5118.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./19 Mayıs Mah.)-40850|8483.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Ahmediye Mah.)-40891|1075.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Alkent 2000 Mah.)-40844|8400.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Atatürk Mah.)-40845|17157.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Bahçelievler Mah.)-40882|4600.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Çakmaklı Mah.)-99334|5778.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Celaliye Mah.)-40928|8562.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Cumhuriyet Mah.)-40846|8632.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Dizdariye Mah.)-40847|6426.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Ekinoba Mah.)-40886|14594.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Fatih Mah.)-40848|17857.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Güzelce Mah.)-40883|10765.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Hürriyet Mah.)-40889|22881.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Kamiloba Mah.)-40929|9506.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Karaağaç Mah.)-40849|6480.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Kumburgaz Mah.)-40884|9799.0|
|İstanbul(Büyükçekmece/Büyükçekmece Bel./Mimaroba Mah.)-140376|20010.0|
